level,descriptor,target,removed_group,n,remaining_n,full_rho,group_loo_rho,absolute_shift,sign_flip
task,variance_drift,delta_auc_roc,MSL,23,22,0.4140316205533597,0.3890457368718239,0.02498588368153576,False
task,variance_drift,delta_auc_roc,ASD,23,11,0.4140316205533597,-0.09090909090909091,0.5049407114624506,True
task,variance_drift,delta_auc_roc,CICIDS,23,22,0.4140316205533597,0.41276115189158674,0.0012704686617729388,False
task,variance_drift,delta_auc_roc,Creditcard,23,22,0.4140316205533597,0.3890457368718239,0.02498588368153576,False
task,variance_drift,delta_auc_roc,SMAP,23,22,0.4140316205533597,0.3969508752117449,0.0170807453416148,False
task,variance_drift,delta_auc_roc,SMD,23,22,0.4140316205533597,0.3822699040090345,0.03176171654432519,False
task,variance_drift,delta_auc_roc,SWAT,23,22,0.4140316205533597,0.3969508752117449,0.0170807453416148,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,PSM,23,22,0.09683794466403163,0.0852625635234331,0.011575381140598529,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,Genesis,23,22,0.09683794466403163,0.17899491812535295,0.08215697346132132,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,GECCO,23,22,0.09683794466403163,0.09090909090909091,0.005928853754940719,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,CalIt2,23,22,0.09683794466403163,0.10559006211180126,0.00875211744776963,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,NYC,23,22,0.09683794466403163,0.23658949745906271,0.1397515527950311,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,MSL,23,22,0.09683794466403163,0.1202710333145116,0.023433088650479966,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD,23,11,0.09683794466403163,-0.41818181818181827,0.5150197628458499,True
task,low_frequency_energy_ratio_mean,delta_auc_pr,CICIDS,23,22,0.09683794466403163,0.07735742518351214,0.019480519480519487,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,Creditcard,23,22,0.09683794466403163,0.10897797854319595,0.01214003387916432,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,SMAP,23,22,0.09683794466403163,0.012987012987012988,0.08385093167701864,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,SMD,23,22,0.09683794466403163,0.07735742518351214,0.019480519480519487,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,SWAT,23,22,0.09683794466403163,0.05815923207227556,0.03867871259175607,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,PSM,23,22,0.4061264822134388,0.3811405985319029,0.02498588368153587,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,Genesis,23,22,0.4061264822134388,0.4443817052512706,0.0382552230378318,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,GECCO,23,22,0.4061264822134388,0.3811405985319029,0.02498588368153587,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,CalIt2,23,22,0.4061264822134388,0.4443817052512706,0.0382552230378318,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,NYC,23,22,0.4061264822134388,0.5211744776962168,0.11504799548277805,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,MSL,23,22,0.4061264822134388,0.3867871259175608,0.019339356295877963,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD,23,11,0.4061264822134388,0.3090909090909091,0.0970355731225297,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,CICIDS,23,22,0.4061264822134388,0.33709768492377196,0.06902879728966682,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,Creditcard,23,22,0.4061264822134388,0.3811405985319029,0.02498588368153587,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,SMAP,23,22,0.4061264822134388,0.3314511575381141,0.07467532467532467,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,SMD,23,22,0.4061264822134388,0.3551665725578769,0.05095990965556185,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,SWAT,23,22,0.4061264822134388,0.36984754376058726,0.03627893845285152,False
task,spectral_entropy,delta_auc_pr,PSM,23,22,0.06818181818181818,0.1202710333145116,0.05208921513269342,False
task,spectral_entropy,delta_auc_pr,Genesis,23,22,0.06818181818181818,0.047995482778091486,0.02018633540372669,False
task,spectral_entropy,delta_auc_pr,GECCO,23,22,0.06818181818181818,0.101072840203275,0.03289102202145683,False
task,spectral_entropy,delta_auc_pr,CalIt2,23,22,0.06818181818181818,0.050254093732354614,0.017927724449463563,False
task,spectral_entropy,delta_auc_pr,NYC,23,22,0.06818181818181818,0.07961603613777528,0.011434217955957102,False
task,spectral_entropy,delta_auc_pr,MSL,23,22,0.06818181818181818,0.10559006211180126,0.037408243929983084,False
task,spectral_entropy,delta_auc_pr,ASD,23,11,0.06818181818181818,0.3090909090909091,0.2409090909090909,False
task,spectral_entropy,delta_auc_pr,CICIDS,23,22,0.06818181818181818,0.10559006211180126,0.037408243929983084,False
task,spectral_entropy,delta_auc_pr,Creditcard,23,22,0.06818181818181818,0.06832298136645965,0.0001411631846414685,False
task,spectral_entropy,delta_auc_pr,SMAP,23,22,0.06818181818181818,0.011857707509881424,0.05632411067193675,False
task,spectral_entropy,delta_auc_pr,SMD,23,22,0.06818181818181818,0.1044607566346697,0.03627893845285152,False
task,spectral_entropy,delta_auc_pr,SWAT,23,22,0.06818181818181818,-0.026538678712591763,0.09472049689440994,True
task,spectral_entropy,delta_auc_roc,PSM,23,22,-0.19071146245059292,-0.163184641445511,0.027526821005081914,False
task,spectral_entropy,delta_auc_roc,Genesis,23,22,-0.19071146245059292,-0.1993224167137211,0.00861095426312819,False
task,spectral_entropy,delta_auc_roc,GECCO,23,22,-0.19071146245059292,-0.163184641445511,0.027526821005081914,False
task,spectral_entropy,delta_auc_roc,CalIt2,23,22,-0.19071146245059292,-0.24675324675324675,0.05604178430265383,False
task,spectral_entropy,delta_auc_roc,NYC,23,22,-0.19071146245059292,-0.18238283455674761,0.008328627893845308,False
task,spectral_entropy,delta_auc_roc,MSL,23,22,-0.19071146245059292,-0.25014116318464147,0.059429700734048546,False
task,spectral_entropy,delta_auc_roc,ASD,23,11,-0.19071146245059292,0.13636363636363638,0.3270750988142293,True
task,spectral_entropy,delta_auc_roc,CICIDS,23,22,-0.19071146245059292,-0.08187464709203841,0.10883681535855451,False
task,spectral_entropy,delta_auc_roc,Creditcard,23,22,-0.19071146245059292,-0.13833992094861663,0.05237154150197629,False
task,spectral_entropy,delta_auc_roc,SMAP,23,22,-0.19071146245059292,-0.25804630152456237,0.06733483907396945,False
task,spectral_entropy,delta_auc_roc,SMD,23,22,-0.19071146245059292,-0.14398644833427443,0.04672501411631849,False
task,spectral_entropy,delta_auc_roc,SWAT,23,22,-0.19071146245059292,-0.28176171654432525,0.09105025409373232,False
task,periodicity_top3_ratio,delta_auc_pr,PSM,23,22,0.15019762845849804,0.13721061547148505,0.012987012987012991,False
task,periodicity_top3_ratio,delta_auc_pr,Genesis,23,22,0.15019762845849804,0.21513269339356297,0.06493506493506493,False
task,periodicity_top3_ratio,delta_auc_pr,GECCO,23,22,0.15019762845849804,0.14737436476566912,0.0028232636928289256,False
task,periodicity_top3_ratio,delta_auc_pr,CalIt2,23,22,0.15019762845849804,0.14624505928853757,0.003952569169960479,False
task,periodicity_top3_ratio,delta_auc_pr,NYC,23,22,0.15019762845849804,0.2941840767927725,0.14398644833427443,False
task,periodicity_top3_ratio,delta_auc_pr,MSL,23,22,0.15019762845849804,0.17560700169395824,0.025409373235460192,False
task,periodicity_top3_ratio,delta_auc_pr,ASD,23,11,0.15019762845849804,-0.19090909090909092,0.34110671936758896,True
task,periodicity_top3_ratio,delta_auc_pr,CICIDS,23,22,0.15019762845849804,0.13382269904009036,0.01637492941840768,False
task,periodicity_top3_ratio,delta_auc_pr,Creditcard,23,22,0.15019762845849804,0.1643139469226426,0.014116318464144545,False
task,periodicity_top3_ratio,delta_auc_pr,SMAP,23,22,0.15019762845849804,0.07058159232072277,0.07961603613777528,False
task,periodicity_top3_ratio,delta_auc_pr,SMD,23,22,0.15019762845849804,0.12478825522303785,0.025409373235460192,False
task,periodicity_top3_ratio,delta_auc_pr,SWAT,23,22,0.15019762845849804,0.06832298136645965,0.0818746470920384,False
task,periodicity_top3_ratio,delta_auc_roc,PSM,23,22,0.4683794466403162,0.4421230942970074,0.02625635234330881,False
task,periodicity_top3_ratio,delta_auc_roc,Genesis,23,22,0.4683794466403162,0.5053642010163749,0.03698475437605869,False
task,periodicity_top3_ratio,delta_auc_roc,GECCO,23,22,0.4683794466403162,0.4421230942970074,0.02625635234330881,False
task,periodicity_top3_ratio,delta_auc_roc,CalIt2,23,22,0.4683794466403162,0.5053642010163749,0.03698475437605869,False
task,periodicity_top3_ratio,delta_auc_roc,NYC,23,22,0.4683794466403162,0.5821569734613213,0.11377752682100511,False
task,periodicity_top3_ratio,delta_auc_roc,MSL,23,22,0.4683794466403162,0.4477696216826652,0.020609824957651013,False
task,periodicity_top3_ratio,delta_auc_roc,ASD,23,11,0.4683794466403162,0.45454545454545453,0.013833992094861691,False
task,periodicity_top3_ratio,delta_auc_roc,CICIDS,23,22,0.4683794466403162,0.40824392998306047,0.06013551665725575,False
task,periodicity_top3_ratio,delta_auc_roc,Creditcard,23,22,0.4683794466403162,0.4421230942970074,0.02625635234330881,False
task,periodicity_top3_ratio,delta_auc_roc,SMAP,23,22,0.4683794466403162,0.4025974025974026,0.0657820440429136,False
task,periodicity_top3_ratio,delta_auc_roc,SMD,23,22,0.4683794466403162,0.4138904573687183,0.0544889892715979,False
task,periodicity_top3_ratio,delta_auc_roc,SWAT,23,22,0.4683794466403162,0.4059853190287973,0.06239412761151891,False
task,correlation_drift,delta_auc_pr,PSM,23,22,-0.2519762845849803,-0.20948616600790515,0.04249011857707513,False
task,correlation_drift,delta_auc_pr,Genesis,23,22,-0.2519762845849803,-0.3235460191981932,0.07156973461321292,False
task,correlation_drift,delta_auc_pr,GECCO,23,22,-0.2519762845849803,-0.24223602484472054,0.009740259740259744,False
task,correlation_drift,delta_auc_pr,CalIt2,23,22,-0.2519762845849803,-0.22868435911914178,0.023291925465838498,False
task,correlation_drift,delta_auc_pr,NYC,23,22,-0.2519762845849803,-0.39243365330321855,0.14045736871823827,False
task,correlation_drift,delta_auc_pr,MSL,23,22,-0.2519762845849803,-0.2907961603613778,0.038819875776397506,False
task,correlation_drift,delta_auc_pr,ASD,23,11,-0.2519762845849803,-0.20909090909090913,0.04288537549407115,False
task,correlation_drift,delta_auc_pr,CICIDS,23,22,-0.2519762845849803,-0.22303783173348396,0.02893845285149632,False
task,correlation_drift,delta_auc_pr,Creditcard,23,22,-0.2519762845849803,-0.2603049124788256,0.008328627893845308,False
task,correlation_drift,delta_auc_pr,SMAP,23,22,-0.2519762845849803,-0.18125352907961606,0.07072275550536422,False
task,correlation_drift,delta_auc_pr,SMD,23,22,-0.2519762845849803,-0.22303783173348396,0.02893845285149632,False
task,correlation_drift,delta_auc_pr,SWAT,23,22,-0.2519762845849803,-0.15979672501411638,0.0921795595708639,False
task,correlation_drift,delta_auc_roc,PSM,23,22,-0.591897233201581,-0.5640880858272164,0.027809147374364684,False
task,correlation_drift,delta_auc_roc,Genesis,23,22,-0.591897233201581,-0.6408808582721628,0.04898362507058174,False
task,correlation_drift,delta_auc_roc,GECCO,23,22,-0.591897233201581,-0.5708639186900057,0.021033314511575307,False
task,correlation_drift,delta_auc_roc,CalIt2,23,22,-0.591897233201581,-0.5878035008469792,0.0040937323546018645,False
task,correlation_drift,delta_auc_roc,NYC,23,22,-0.591897233201581,-0.7052512704686619,0.11335403726708082,False
task,correlation_drift,delta_auc_roc,MSL,23,22,-0.591897233201581,-0.5878035008469792,0.0040937323546018645,False
task,correlation_drift,delta_auc_roc,ASD,23,11,-0.591897233201581,-0.5545454545454546,0.03735177865612649,False
task,correlation_drift,delta_auc_roc,CICIDS,23,22,-0.591897233201581,-0.5448898927159798,0.04700734048560129,False
task,correlation_drift,delta_auc_roc,Creditcard,23,22,-0.591897233201581,-0.5810276679841898,0.010869565217391242,False
task,correlation_drift,delta_auc_roc,SMAP,23,22,-0.591897233201581,-0.5448898927159798,0.04700734048560129,False
task,correlation_drift,delta_auc_roc,SMD,23,22,-0.591897233201581,-0.5482778091473745,0.0436194240542066,False
task,correlation_drift,delta_auc_roc,SWAT,23,22,-0.591897233201581,-0.5448898927159798,0.04700734048560129,False
